Cuenta,Año,Valor,NIT
Cuentas,2024,0,El cielo
Efectivo y equivalentes al efectivo,2024,$275.699,El cielo
Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,2024,$1.877.845,El cielo
Inventarios corrientes,2024,$19.962,El cielo
"Activos por impuestos corrientes, corriente",2024,$783.046,El cielo
"Activos biológicos corrientes, al costo menos depreciación acumulada y deterioro de valor",2024,0,El cielo
"Activos biológicos corrientes, al valor razonable",2024,0,El cielo
Otros activos financieros corrientes,2024,0,El cielo
Otros activos no financieros corrientes,2024,$10.059,El cielo
Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2024,0,El cielo
Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2024,$2.966.611,El cielo
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2024,0,El cielo
Activos corrientes totales,2024,$2.966.611,El cielo
"Propiedades, planta y equipo",2024,$1.667.762,El cielo
Propiedades de inversión al costo menos depreciación acumulada y deterioro,2024,0,El cielo
Propiedades de inversión a valor razonable con cambios en resultados,2024,0,El cielo
Plusvalía,2024,0,El cielo
Activos intangibles distintos de la plusvalía,2024,$4.593,El cielo
"Activos biológicos no corrientes, al costo menos depreciación acumulada y deterioro del valor",2024,0,El cielo
"Activos biológicos no corrientes, al valor razonable",2024,0,El cielo
Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,2024,$173.077,El cielo
Inventarios no corrientes,2024,0,El cielo
Activos por impuestos diferidos,2024,0,El cielo
"Activos por impuestos corrientes, no corriente",2024,0,El cielo
Otros activos financieros no corrientes,2024,0,El cielo
Otros activos no financieros no corrientes,2024,$33.534,El cielo
Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2024,0,El cielo
Total de activos no corrientes,2024,$1.878.966,El cielo
Total Activos,2024,$4.845.577,El cielo
Provisiones corrientes por beneficios a los empleados,2024,$146.650,El cielo
Otras provisiones corrientes,2024,0,El cielo
Total provisiones corrientes,2024,$146.650,El cielo
Cuentas por pagar comerciales y otras cuentas por pagar corrientes,2024,$1.039.559,El cielo
"Pasivos por impuestos corrientes, corriente",2024,$625.971,El cielo
Otros pasivos financieros corrientes,2024,$9.683,El cielo
Préstamos corrientes,2024,$9.683,El cielo
Parte corriente de préstamos no corrientes,2024,0,El cielo
Otros pasivos no financieros corrientes,2024,$13.577,El cielo
Total pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2024,$1.835.440,El cielo
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2024,0,El cielo
Pasivos corrientes totales,2024,$1.835.440,El cielo
Provisiones no corrientes por beneficios a los empleados,2024,0,El cielo
Otras provisiones no corrientes,2024,0,El cielo
Total provisiones no corrientes,2024,0,El cielo
Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,2024,0,El cielo
Pasivo por impuestos diferidos,2024,0,El cielo
"Pasivos por impuestos corrientes, no corriente",2024,0,El cielo
Otros pasivos financieros no corrientes,2024,$157.038,El cielo
Parte no corriente de préstamos no corrientes,2024,$157.038,El cielo
Otros pasivos no financieros no corrientes,2024,0,El cielo
Total de pasivos no corrientes,2024,$157.038,El cielo
Total pasivos,2024,$1.992.478,El cielo
Capital emitido,2024,$507.109,El cielo
Prima de emisión,2024,$127.670,El cielo
Acciones propias en cartera,2024,0,El cielo
Inversión suplementaria al capital asignado,2024,0,El cielo
Otras participaciones en el patrimonio,2024,0,El cielo
Superavit por revaluación,2024,0,El cielo
Otras reservas,2024,$637.131,El cielo
Ganancias acumuladas,2024,$1.581.189,El cielo
Patrimonio Total,2024,$2.853.099,El cielo
Total de patrimonio y pasivos,2024,$4.845.577,El cielo
Cuentas,2023,0,El cielo
Efectivo y equivalentes al efectivo,2023,$4.601,El cielo
Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,2023,$1.799.522,El cielo
Inventarios corrientes,2023,$6.960,El cielo
"Activos por impuestos corrientes, corriente",2023,$1.149.501,El cielo
"Activos biológicos corrientes, al costo menos depreciación acumulada y deterioro de valor",2023,0,El cielo
"Activos biológicos corrientes, al valor razonable",2023,0,El cielo
Otros activos financieros corrientes,2023,0,El cielo
Otros activos no financieros corrientes,2023,$8.797,El cielo
Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2023,0,El cielo
Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2023,$2.969.381,El cielo
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2023,0,El cielo
Activos corrientes totales,2023,$2.969.381,El cielo
"Propiedades, planta y equipo",2023,$1.483.154,El cielo
Propiedades de inversión al costo menos depreciación acumulada y deterioro,2023,0,El cielo
Propiedades de inversión a valor razonable con cambios en resultados,2023,0,El cielo
Plusvalía,2023,0,El cielo
Activos intangibles distintos de la plusvalía,2023,$3.419,El cielo
"Activos biológicos no corrientes, al costo menos depreciación acumulada y deterioro del valor",2023,0,El cielo
"Activos biológicos no corrientes, al valor razonable",2023,0,El cielo
Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,2023,$180.546,El cielo
Inventarios no corrientes,2023,0,El cielo
Activos por impuestos diferidos,2023,0,El cielo
"Activos por impuestos corrientes, no corriente",2023,0,El cielo
Otros activos financieros no corrientes,2023,0,El cielo
Otros activos no financieros no corrientes,2023,$33.534,El cielo
Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2023,0,El cielo
Total de activos no corrientes,2023,$1.700.653,El cielo
Total Activos,2023,$4.670.034,El cielo
Provisiones corrientes por beneficios a los empleados,2023,$124.917,El cielo
Otras provisiones corrientes,2023,0,El cielo
Total provisiones corrientes,2023,$124.917,El cielo
Cuentas por pagar comerciales y otras cuentas por pagar corrientes,2023,$508.349,El cielo
"Pasivos por impuestos corrientes, corriente",2023,$1.377.293,El cielo
Otros pasivos financieros corrientes,2023,$19.854,El cielo
Préstamos corrientes,2023,$19.854,El cielo
Parte corriente de préstamos no corrientes,2023,0,El cielo
Otros pasivos no financieros corrientes,2023,$23.579,El cielo
Total pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2023,$2.053.992,El cielo
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,2023,0,El cielo
Pasivos corrientes totales,2023,$2.053.992,El cielo
Provisiones no corrientes por beneficios a los empleados,2023,0,El cielo
Otras provisiones no corrientes,2023,0,El cielo
Total provisiones no corrientes,2023,0,El cielo
Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,2023,0,El cielo
Pasivo por impuestos diferidos,2023,0,El cielo
"Pasivos por impuestos corrientes, no corriente",2023,0,El cielo
Otros pasivos financieros no corrientes,2023,$185.114,El cielo
Parte no corriente de préstamos no corrientes,2023,$185.114,El cielo
Otros pasivos no financieros no corrientes,2023,0,El cielo
Total de pasivos no corrientes,2023,$185.114,El cielo
Total pasivos,2023,$2.239.106,El cielo
Capital emitido,2023,$507.109,El cielo
Prima de emisión,2023,$127.670,El cielo
Acciones propias en cartera,2023,0,El cielo
Inversión suplementaria al capital asignado,2023,0,El cielo
Otras participaciones en el patrimonio,2023,0,El cielo
Superavit por revaluación,2023,0,El cielo
Otras reservas,2023,$547.871,El cielo
Ganancias acumuladas,2023,$1.248.278,El cielo
Patrimonio Total,2023,$2.430.928,El cielo
Total de patrimonio y pasivos,2023,$4.670.034,El cielo
Cuentas,2024,0,Frisby
Efectivo y equivalentes al efectivo,2024,$44.722.595,Frisby
Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,2024,$5.513.442,Frisby
Inventarios corrientes,2024,$29.603.192,Frisby
"Activos por impuestos corrientes, corriente",2024,$2.377.236,Frisby
"Activos biológicos corrientes, al costo menos depreciación acumulada y deterioro de valor",2024,$0,Frisby
"Activos biológicos corrientes, al valor razonable",2024,$0,Frisby
Otros activos financieros corrientes,2024,$0,Frisby
Otros activos no financieros corrientes,2024,$3.163.780,Frisby
Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2024,$0,Frisby
Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2024,$85.380.245,Frisby
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2024,$0,Frisby
Activos corrientes totales,2024,$85.380.245,Frisby
"Propiedades, planta y equipo",2024,$133.025.513,Frisby
Propiedades de inversión al costo menos depreciación acumulada y deterioro,2024,$0,Frisby
Propiedades de inversión a valor razonable con cambios en resultados,2024,$48.296.075,Frisby
Plusvalía,2024,$0,Frisby
Activos intangibles distintos de la plusvalía,2024,$92.076,Frisby
"Activos biológicos no corrientes, al costo menos depreciación acumulada y deterioro del valor",2024,$0,Frisby
"Activos biológicos no corrientes, al valor razonable",2024,$0,Frisby
Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,2024,$16.742.274,Frisby
Inventarios no corrientes,2024,$0,Frisby
Activos por impuestos diferidos,2024,$31.235,Frisby
"Activos por impuestos corrientes, no corriente",2024,$0,Frisby
Otros activos financieros no corrientes,2024,$19.230.494,Frisby
Otros activos no financieros no corrientes,2024,$0,Frisby
Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,2024,$0,Frisby
